AktID,ArtID,LatArt
909130,1274,Carex pairae
909130,1461,Cerastium fontanum var. vulgare
909130,1638,Cirsium vulgare
909130,1810,Crataegus monogyna
909130,1902,Cynosurus cristatus
909130,1925,Dactylis glomerata
909130,2001,Daucus carota subsp. carota
909130,2591,Festuca rubra
909130,2667,Galeopsis
909130,2717,Galium verum
909130,2769,Geranium pyrenaicum
909130,2786,Geum urbanum
909130,3089,Holcus lanatus
909130,3168,Hypochaeris radicata
909130,3552,Lolium perenne
909130,3586,Lotus tenuis
909130,4044,Ononis spinosa subsp. procurrens
909130,4290,Phleum pratense
909130,4369,Pimpinella saxifraga
909130,4423,Plantago lanceolata
909130,4823,Ranunculus acris
909130,4977,Rosa canina subsp. canina
909130,5148,Rumex acetosa
909130,6161,Taraxacum officinale coll.
909130,6441,Trifolium pratense
909130,6633,Veronica chamaedrys
909130,32838,Achillea millefolium
911119,121,Agrostis gigantea
911119,435,Anthriscus sylvestris
911119,557,Arrhenatherum elatius
911119,1625,Cirsium arvense
911119,1824,Crepis capillaris
911119,1925,Dactylis glomerata
911119,2274,Elytrigia repens
911119,2591,Festuca rubra
911119,3702,Malva sylvestris
911119,4423,Plantago lanceolata
911119,4483,Poa pratensis
911119,5148,Rumex acetosa
911119,32838,Achillea millefolium
917275,557,Arrhenatherum elatius
917275,874,Bromopsis erecta
917275,1342,Carlina vulgaris
917275,1416,Centaurea scabiosa
917275,1925,Dactylis glomerata
917275,2591,Festuca rubra
917275,2903,Helichrysum arenarium
917275,3080,Hippophaë rhamnoides
917275,3391,Lathyrus sylvestris
917275,3455,Leucanthemum vulgare
917275,4475,Poa compressa
917275,4483,Poa pratensis
917275,4731,Prunus avium
917275,5487,Scabiosa columbaria
917275,5702,Silene vulgaris
917275,5780,Solidago virgaurea
917275,7180,Bryopsida
917275,32838,Achillea millefolium
919313,116,Agrostis capillaris
919313,974,Calluna vulgaris
919313,1095,Carex arenaria
919313,2020,Avenella flexuosa
919313,2704,Galium saxatile
919313,3089,Holcus lanatus
919313,3355,Larix
919313,3855,Molinia caerulea
919313,4327,Picea abies
919313,4817,Quercus robur
919313,5073,Rubus idaeus
919313,5123,Rubus sect. Rubus
919313,5798,Sorbus aucuparia
919313,7180,Bryopsida
922499,488,Arabis hirsuta
922499,531,Arenaria serpyllifolia
922499,557,Arrhenatherum elatius
922499,885,Bromus hordeaceus subsp. hordeaceus
922499,1416,Centaurea scabiosa
922499,1461,Cerastium fontanum var. vulgare
922499,1625,Cirsium arvense
922499,1638,Cirsium vulgare
922499,1800,Crataegus
922499,1925,Dactylis glomerata
922499,2195,Echium vulgare
922499,2588,Schedonorus pratensis
922499,2591,Festuca rubra
922499,2763,Geranium molle
922499,3162,Hypericum perforatum
922499,3580,Lotus corniculatus
922499,3608,Luzula campestris
922499,3736,Medicago lupulina
922499,3890,Myosotis arvensis
922499,4071,Origanum vulgare
922499,4359,Pilosella officinarum
922499,4423,Plantago lanceolata
922499,4483,Poa pratensis
922499,4664,Potentilla argentea
922499,4692,Potentilla reptans
922499,4835,Ranunculus bulbosus
922499,5030,Rubus caesius
922499,5221,Rumex thyrsiflorus
922499,5465,Saxifraga granulata
922499,5702,Silene vulgaris
922499,6418,Trifolium campestre
922499,6422,Trifolium dubium
922499,6578,Valerianella locusta
922499,6590,Verbascum densiflorum
922499,6626,Veronica arvensis
922499,6633,Veronica chamaedrys
922499,7180,Bryopsida
922499,32838,Achillea millefolium
922512,104,Agrimonia eupatoria
922512,557,Arrhenatherum elatius
922512,566,Artemisia campestris
922512,874,Bromopsis erecta
922512,1179,Carex divulsa
922512,1800,Crataegus
922512,1925,Dactylis glomerata
922512,2001,Daucus carota subsp. carota
922512,2195,Echium vulgare
922512,2591,Festuca rubra
922512,2633,Fraxinus excelsior
922512,2687,Galium mollugo
922512,3300,Knautia arvensis
922512,3388,Lathyrus pratensis
922512,3736,Medicago lupulina
922512,4071,Origanum vulgare
922512,4289,Phleum phleoides
922512,4359,Pilosella officinarum
922512,4423,Plantago lanceolata
922512,4483,Poa pratensis
922512,4732,Prunus cerasifera
922512,4817,Quercus robur
922512,5000,Rosa rubiginosa
922512,5030,Rubus caesius
922512,5148,Rumex acetosa
922512,5780,Solidago virgaurea
922512,6394,Tragopogon pratensis
922512,6676,Vicia cracca
922512,7180,Bryopsida
922512,32838,Achillea millefolium
759467,557,Arrhenatherum elatius
759467,764,Bellis perennis
759467,885,Bromus hordeaceus subsp. hordeaceus
759467,1461,Cerastium fontanum var. vulgare
759467,1625,Cirsium arvense
759467,1902,Cynosurus cristatus
759467,1925,Dactylis glomerata
759467,2591,Festuca rubra
759467,2683,Galium aparine
759467,2687,Galium mollugo
759467,2757,Geranium dissectum
759467,3552,Lolium perenne
759467,4423,Plantago lanceolata
759467,4483,Poa pratensis
759467,4494,Poa trivialis
759467,4823,Ranunculus acris
759467,5180,Rumex crispus
759467,6161,Taraxacum officinale coll.
759467,6418,Trifolium campestre
759467,6431,Trifolium medium
759467,6441,Trifolium pratense
759467,6446,Trifolium repens
759467,6529,Urtica dioica
759467,6633,Veronica chamaedrys
759467,7180,Bryopsida
760553,116,Agrostis capillaris
760553,141,Aira praecox
760553,793,Betula pubescens
760553,974,Calluna vulgaris
760553,1273,Carex leporina
760553,2020,Avenella flexuosa
760553,2823,Gnaphalium sylvaticum
760553,3089,Holcus lanatus
760553,3090,Holcus mollis
760553,3168,Hypochaeris radicata
760553,3226,Jasione montana
760553,3268,Juncus effusus
760553,3455,Leucanthemum vulgare
760553,3580,Lotus corniculatus
760553,3608,Luzula campestris
760553,4078,Ornithopus perpusillus
760553,4359,Pilosella officinarum
760553,4403,Pinus sylvestris
760553,4823,Ranunculus acris
760553,5148,Rumex acetosa
760553,5156,Rumex acetosella
