,Location name,Location code,akt_id,year,habitat,Patch_Size,sp_richness,total_nature_mean,total_nature_cv,nature_dry_mean,nature_dry_cv,lake_mean,lake_cv,forest_mean,forest_cv,agriculture_intensive_temporary_crops_mean,agriculture_intensive_temporary_crops_cv,agriculture_intensive_permanent_crops_mean,agriculture_intensive_permanent_crops_cv,Tempcont,lon,lat,Continuity
128,Orø,ORØ,856616,2019,Kalkoverdrev,2.8,28,82.95,4.991,1.187,110.204,0.093,40.564,1.113,64.021,19.57,28.298,0,0,6,11.7988487866207,55.7891965097639,High spatial/low temporal
125,Kongskilde,KOS,855129,2019,Kalkoverdrev,10.51,31,75.343,5.256,7.087,99.964,11.167,44.73,22.13,20.157,32.667,3.617,0.017,124.9,28,11.5455058939771,55.382137282753,Low spatial/high temporal
124,Skovly,SKS,852558,2019,Kalkoverdrev,2.29,21,62.073,7.284,5.477,81.746,4.447,49.204,35.567,24.092,12.15,133.004,0.01,173.205,28,12.2366859444296,55.8127828474702,Low spatial/high temporal
117,Gurede,GUS,850860,2019,Kalkoverdrev,4.76,41,74.917,7.055,0.207,101.651,0.47,53.149,2.7,70.915,65.363,12.576,0.003,173.205,28,11.6638614539764,55.7633200270134,Low spatial/high temporal
98,Hedeland,HES,821471,2018,Overdrev,4.08,36,42.08,4.945,10.817,85.652,5.987,37.93,8.663,45.667,11.867,109.635,0,0,18,12.1808787358688,55.6321678085446,Low spatial/high temporal
95,Havelse,HAS,819974,2018,Kalkoverdrev,2.75,14,67.82,7.264,0.397,70.061,0.7,34.67,2.76,47.342,27.273,10.792,0.317,86.732,28,12.0688241982435,55.8747127416031,Low spatial/high temporal
90,Jyllinge,JYS,815998,2018,Kalkoverdrev,2.1,19,73.72,4.802,1.853,82.877,0.22,51.225,0.733,86.688,20.173,40.544,0.267,173.205,28,12.0878969628011,55.7785944066905,Low spatial/high temporal
89,Mullerup Strand,MSS,814476,2018,Overdrev,2.76,17,88.623,3.436,1.78,80.184,0.363,33.18,0.66,87.944,37.957,15.171,0.067,173.205,28,11.1766246755645,55.4921379724661,High spatial/high temporal
85,Myrdeskov,MYS,807574,2017,Kalkoverdrev,2.36,38,85.303,6.464,2.463,89.624,3.42,63.911,43.68,57.994,32.22,75.109,0.39,88.192,28,11.770403216854,55.5137731808285,High spatial/high temporal
42,Brønsvig,BRS,785395,2017,Kalkoverdrev,2.23,56,85.373,4.029,0.103,71.333,0.167,12.49,12.02,54.846,12.883,52.913,0.063,173.205,28,12.1802365303144,55.106562485767,High spatial/high temporal
3,Nysted,NYS,761459,2016,Overdrev,4.51,13,82.627,3.876,0.147,117.37,1.707,68.758,26.793,63.05,10.28,156.335,0.013,173.205,28,11.7193748837442,54.6593221911497,High spatial/high temporal
